title,singer,anime,vocaloid,year,code,本日
8.32,*Luna,FALSE,TRUE,,,
About me,蝶々P,FALSE,TRUE,,,
Blessing,halyosy,FALSE,TRUE,,,
Calc,ジミーサムP,FALSE,TRUE,,,
CITRUS,Da-iCE,FALSE,FALSE,,,
DAYBRAKEFRONTLINE,Orangestar,FALSE,TRUE,,,
fairytail,buzzG,FALSE,TRUE,,,
FIRE◎Flower,halyosy,FALSE,TRUE,,,
GOOD BYE,HoneyWorks,FALSE,FALSE,,,
I wonder,Da-iCE,FALSE,FALSE,,,
KICK BACK,米津玄師,TRUE,FALSE,,,
King,Kanaria,FALSE,TRUE,,,
lemon,米津玄師,FALSE,FALSE,,720-5540-5,
Monster,嵐,FALSE,FALSE,,,
Myra,Tani Yuuki,FALSE,FALSE,,,
ODDS&ENDS,Ryo(supercell),FALSE,TRUE,,,
ONE Love,嵐,FALSE,FALSE,,,
orion,米津玄師,FALSE,FALSE,,,
Q,椎名もた,FALSE,TRUE,,,
sign,Flow,TRUE,FALSE,,164-9851-8,
Stand Out Fit In,ONE OK ROCK,FALSE,FALSE,,,
Starduster,ジミーサムP,FALSE,TRUE,,,
START,レフティーモンスターP,FALSE,TRUE,,,
TOGETHER,あきよしふみえ,TRUE,FALSE,,135-0308-1,
Truth,嵐,FALSE,FALSE,,,
V.I.P,シド,TRUE,FALSE,,N00040489,
W/X/Y,Tani Yuuki,FALSE,FALSE,,,
Wherever you are,ONE OK ROCK,FALSE,FALSE,,,
アイドル,YOASOBI,TRUE,FALSE,,,
アイネクライネ,米津玄師,FALSE,FALSE,,,
アイラ,n-buna,FALSE,TRUE,,,
アイロニ,すこっぷ,FALSE,TRUE,,N00633018,
アウターサイエンス,じん,FALSE,TRUE,,,
アサガオの散る頃に,じっぷす,FALSE,TRUE,,,
アスノヨゾラ哨戒班,Orangestar,FALSE,TRUE,,,
アトラクトライト,*Luna,FALSE,TRUE,,N00645702,
あなたの夜があけるまで,傘村トータ,FALSE,TRUE,,249-1142-9,
アヤノの幸福理論,じん,FALSE,TRUE,,,
アンチジョーカー,マイキP,FALSE,TRUE,,,
アンチビート,DECO*27,FALSE,TRUE,,,
い～やい～やい～や,Neru,FALSE,TRUE,,,
いかないで,想太,FALSE,TRUE,,,
イノコリ先生,HoneyWorks,FALSE,TRUE,,,
インタビュア,クワガタP,FALSE,TRUE,,-,
ヴァンパイア,DECO*27,FALSE,TRUE,,,
うたかた花火,supercell,TRUE,FALSE,,170-7839-3,
ウミユリ海底譚,n-buna,FALSE,TRUE,,,
エイリアンエイリアン,ナユタン星人,FALSE,TRUE,,,
エンヴィーベイビー,Kanaria,FALSE,TRUE,,,
エンドロール,夏代孝明,FALSE,TRUE,,,
オトノナルホウヘ,Goose house,TRUE,FALSE,,709-1420-6,
お気に召すまま,Eve,FALSE,TRUE,,,
カーテンコール,優里,TRUE,FALSE,,,
かくれんぼ,優里,FALSE,FALSE,,,
カゲロウ,ONE OK ROCK,FALSE,FALSE,,145-8405-1,
ガラクタパレード,Neru,FALSE,TRUE,,,
からくりピエロ,40mp,FALSE,TRUE,,,
キセキ,GReeeeN,FALSE,FALSE,,,
きみとそらをとぶ,傘村トータ,FALSE,TRUE,,,
ギラギラ,Ado,FALSE,FALSE,,,
くらべられっ子,ツユ,FALSE,FALSE,,,
グリーンライツセレナーデ,Omoi,FALSE,TRUE,,,
ケセラセラ,Mrs. GREEN APPLE,FALSE,FALSE,,N01232425,
ゴーストルール,DECO*27,FALSE,TRUE,,,
ココロキセキ,トラボルタP,FALSE,TRUE,,,
サマータイムレコード,じん,FALSE,TRUE,,,
さよならだけが人生だ,伊藤樫太郎,FALSE,FALSE,,,
サリシノハラ,みきとP,FALSE,TRUE,,,
ジャガーノート,夏代孝明,FALSE,TRUE,,722-6596-5,
シャッター,優里,FALSE,FALSE,,,
シャルル,バルーン,FALSE,TRUE,,,
シリョクケンサ,40mp,FALSE,TRUE,2011,703-3193-6,
しわ,buzzG,FALSE,TRUE,,N00099644,
ステラ,じん,FALSE,TRUE,,,
ストリーミングハート,DECO*27,FALSE,TRUE,,,
スローモーション,ピノキオピー,FALSE,TRUE,,,
セカイ,DECO*27,FALSE,TRUE,,,
ダーリン,須田景凪,FALSE,FALSE,,,
タイムマシン,1640mp,FALSE,TRUE,,,
だから僕は音楽をやめた,ヨルシカ,FALSE,FALSE,,,
だきしめるまで。,MIMI,FALSE,TRUE,,751-5646-6,
ただ君に晴れ,ヨルシカ,FALSE,FALSE,,N00570002,
ダンスロボットダンス,ナユタン星人,FALSE,TRUE,,,
だんだん早くなる,40mp,FALSE,TRUE,,,
ちゃんとあるよ,傘村トータ,FALSE,TRUE,,,
ツキミソウ,Novelbright,FALSE,FALSE,,,
テオ,Omoi,FALSE,TRUE,,,
ドナーソング,れるりり＆もじゃ,FALSE,TRUE,,,
ドライフラワー,優里,FALSE,FALSE,,258-2440-6,
ドラマツルギー,Eve,FALSE,TRUE,,,
ナイティナイト,まふまふ,FALSE,FALSE,,,
ナミカレ,ツユ,FALSE,FALSE,,,
ナンセンス文学,Eve,FALSE,TRUE,,,
ニア,夏代　孝明,FALSE,TRUE,,227-5668-0,
ハイドアンドシーク,19's Sound Factory,FALSE,TRUE,,,
ハウトゥー世界征服霊,Neru,FALSE,TRUE,,,
ハッピーシンセサイザー,EasyPop(BETTI),FALSE,TRUE,,174-4391-1,
パプリカ,米津玄師,FALSE,FALSE,,,
ハロ/ハワユ,ナノウ,FALSE,TRUE,2010,N00094685,
ピースサイン,米津玄師,TRUE,FALSE,,,
ピエロ,KEI,FALSE,TRUE,,,
ヒッチコック,ヨルシカ,FALSE,FALSE,,,
ひとりぼっちの革命,Nina77,FALSE,FALSE,,,
ヒバナ,DECO*27,FALSE,TRUE,,N00539591,
ヒビカセ,ギガP,FALSE,TRUE,,,
フォニィ,ツミキ,FALSE,TRUE,,,
プラネタリウムの真実,夏代孝明,FALSE,TRUE,,723-7928-6,
フリージア,Uru,TRUE,FALSE,2017,716-8632-1,
ブリキノダンス,日向電工,FALSE,TRUE,,,
プロトディスコ,ぬゆり,FALSE,TRUE,,,
ベテルギウス,優里,FALSE,FALSE,,,
ベノム,かいりきベア,FALSE,TRUE,,,
マリーゴールド,あいみょん,FALSE,FALSE,,,
メフィスト,女王蜂,TRUE,FALSE,,,
メフィスト,女王蜂,TRUE,FALSE,,,
メリーゴーランド,優里,FALSE,FALSE,,,
メリュー,n-buna,FALSE,TRUE,,,
メルト,Ryo(supercell),FALSE,TRUE,,,
ようこそジャパリパークへ,どうぶつビスケッツ×ＰＰＰ,TRUE,FALSE,,716-6571-4,
ライオン,May'n,TRUE,FALSE,,152-0139-2,
レオ,優里,FALSE,FALSE,,N01104394,
レディーレ,バルーン,FALSE,TRUE,,N00538826,
レトルトアイロニー,スズム,FALSE,TRUE,,,
レントリリー,ジグ,FALSE,TRUE,,N00538861,
ロキ,みきとP,FALSE,TRUE,,N00560958,
ロストワンの号哭霊,Neru,FALSE,TRUE,,,
ワールドランプシェード,buzzG,FALSE,TRUE,,N00057399,
愛唄,GReeeeN,FALSE,FALSE,,,
愛言葉Ⅱ,DECO*27,FALSE,TRUE,,,
愛言葉Ⅲ,DECO*27,FALSE,TRUE,,,
雨き声残響,Orangestar,FALSE,TRUE,,N00110333,
雨とペトラ,バルーン,FALSE,TRUE,,,
歌に形はないけれど,doriko,FALSE,TRUE,,,
花に亡霊,ヨルシカ,FALSE,FALSE,,,
回る空うさぎ,Orangestar,FALSE,TRUE,,,
完全感覚Dreamer,ONE OK ROCK,FALSE,FALSE,,,
幾億光年,Omoinotake,FALSE,FALSE,,,
季節は次々死んでいく,amazarashi,TRUE,FALSE,,,
強風オールバック,ゆこぴ,FALSE,TRUE,,282-9463-7,
金木犀,くじら,FALSE,TRUE,,,
金曜日のおはよう,HoneyWorks,FALSE,TRUE,,,
空想列車,Orangestar,FALSE,TRUE,,,
繰り返し一粒,猫虫P,FALSE,TRUE,,,
君が飛び下りるなら,Omoi,FALSE,TRUE,,,
君をのせて,井上あずみ,TRUE,FALSE,,020-7862-7,
君色に染まる,西沢さんP,FALSE,TRUE,,,
言って,ヨルシカ,FALSE,FALSE,,,
虎視眈々,梅とら,FALSE,TRUE,,,
幸せ。,HoneyWorks,FALSE,FALSE,,256-1567-0,
砂の惑星,ハチ,FALSE,TRUE,2017,229-6963-2,
再教育,Neru,FALSE,TRUE,,,
才能なんか,午後ティー,FALSE,TRUE,,N00850566,
桜色タイムカプセル,スズム,FALSE,TRUE,,,
時の雨最終戦争,Orangestar,FALSE,TRUE,,,
心拍数#0822,蝶々P,FALSE,TRUE,,,
心做し,蝶々P,FALSE,TRUE,,N00051673,
神っぽいな,ピノキオピー,FALSE,TRUE,,,
神のまにまに,れるりり,FALSE,TRUE,,196-8542-4,
酔いどれ知らず,Kanaria,FALSE,TRUE,,,
晴る,ヨルシカ,TRUE,FALSE,,776-4897-8,
晴天前夜,はりー,FALSE,TRUE,,,
生きる,水野あつ,FALSE,TRUE,,N01061602,
千本桜,黒うさ,FALSE,TRUE,,,
太陽系デスコ,ナユタン星人,FALSE,TRUE,,,
脱法ロック,Neru,FALSE,TRUE,,,
地球最後の告白を,kemu,FALSE,TRUE,,,
天ノ弱,164,FALSE,TRUE,,702-8357-5,
点描の歌,Mrs. GREEN APPLE,FALSE,FALSE,,722-6681-3,
東京オータムセッション,HoneyWorks,FALSE,FALSE,,732-9678-3,
東京サマーセッション,HoneyWorks,FALSE,FALSE,,,
東京テディベア,Neru,FALSE,TRUE,,,
敗北の少年,kemu,FALSE,TRUE,,,
病名は愛だった,Neru,FALSE,TRUE,,,
聞こえますか,HoneyWorks,FALSE,FALSE,,,
僕が夢を捨てて大人になるまで,傘村トータ,FALSE,TRUE,,,
僕はロックを聞かない,あいみょん,FALSE,FALSE,,,
命のユースティティア,Neru,FALSE,TRUE,,,
迷宮ラブソング,嵐,FALSE,FALSE,,,
妄想感傷代償連盟,DECO*27,FALSE,TRUE,,,
夜もすがら君想ふ,西沢さんP,FALSE,TRUE,,N00053445,
夜空のクレヨン,まふまふ,FALSE,FALSE,,,
夜桜,まふまふ×あほの坂田,FALSE,FALSE,,,
夜明けと蛍,n-buna,FALSE,TRUE,,,
欲望に満ちた青年団,ONE OK ROCK,FALSE,FALSE,,,
離れないでよ,傘村トータ,FALSE,TRUE,,,
林檎花火とソーダの海,まふまふ,FALSE,TRUE,,,
六等星,ざらめ,TRUE,FALSE,,,
惑星ループ,ナユタン星人,FALSE,TRUE,,,
嗚呼素晴らしきニャン生,Nem,FALSE,TRUE,,,
彗星ハネムーン,ナユタン星人,FALSE,TRUE,,,
曖昧劣情lover,電ポルP,FALSE,TRUE,,,
朧月,まふまふ,FALSE,FALSE,,720-6912-1,
蕾,Omoinotake,FALSE,FALSE,,,
贖罪,傘村トータ,FALSE,TRUE,,,
